timestamp,,,,dailypower,gridstatus,power,rpm,systemstatus,totpower,turbinestatus,volts,wind
1427864601,1427864601.601,4/1/2015,5:03:22 AM,15.4666048,0000,527,210,0100,697590,0000,173.2,7
1427864785,1427864785.785,4/1/2015,5:06:26 AM,25.5915643,0000,555,213,0100,697623,0000,173.9,7
1427864971,1427864971.971,4/1/2015,5:09:32 AM,34.6165282,0000,601,219,0100,697656,0000,179.4,7
1427865325,1427865325.325,4/1/2015,5:15:25 AM,51.2331284,0000,755,235,0100,697710,0000,191.8,7
1427865418,1427865418.418,4/1/2015,5:16:58 AM,54.6247815,0000,407,194,0100,697726,0000,160,6
1427865603,1427865603.603,4/1/2015,5:20:04 AM,63.866411199999995,0000,502,207,0100,697751,0000,170.2,6
1427865793,1427865793.793,4/1/2015,5:23:14 AM,71.45804749999999,0000,425,197,0100,697769,0000,163,6
1427866218,1427866218.218,4/1/2015,5:30:18 AM,86.75798629999998,0000,239,163,0100,697810,0000,135.7,5
1427866466,1427866466.466,4/1/2015,5:34:26 AM,89.29130949999998,0000,147,141,0100,697821,0000,119.3,4
1427866803,1427866803.803,4/1/2015,5:40:04 AM,91.05796909999998,0000,146,141,0100,697834,0000,120,4
1427866947,1427866947.947,4/1/2015,5:42:28 AM,91.69963319999998,0000,77,122,0100,697838,0000,104.4,4
1427867255,1427867255.255,4/1/2015,5:47:35 AM,92.45796349999998,0000,24,102,0100,697842,0000,88.7,3
1427867387,1427867387.387,4/1/2015,5:49:47 AM,92.46629679999998,0000,1,87,0100,697843,0000,76.7,3
1427867516,1427867516.516,4/1/2015,5:51:57 AM,92.64962939999998,0000,22,101,0100,697843,0000,87.4,3
1427868005,1427868005.005,4/1/2015,6:00:05 AM,93.97462409999999,0000,75,122,0100,697851,0000,104.2,4
1427868499,1427868499.499,4/1/2015,6:08:19 AM,95.24961899999998,0000,39,111,0100,697858,0000,95.9,3
1427868629,1427868629.629,4/1/2015,6:10:30 AM,95.91628299999998,0000,80,123,0100,697860,0000,106,4
1427868772,1427868772.772,4/1/2015,6:12:53 AM,96.52461389999998,0000,73,121,0100,697862,0000,105,4
1427868902,1427868902.902,4/1/2015,6:15:03 AM,97.10794489999998,0000,70,120,0100,697865,0000,103.3,4
1427869030,1427869030.030,4/1/2015,6:17:10 AM,97.56627639999998,0000,55,115,0100,697868,0000,99.7,3
1427869354,1427869354.354,4/1/2015,6:22:34 AM,98.12460749999998,0000,18,98,0100,697871,0000,85.5,3
1427869486,1427869486.486,4/1/2015,6:24:46 AM,98.34960659999999,0000,27,103,0100,697872,0000,89.7,3
1427869797,1427869797.797,4/1/2015,6:29:58 AM,99.24126969999998,0000,83,123,0100,697876,0000,106,4
1427869926,1427869926.926,4/1/2015,6:32:07 AM,99.56626839999997,0000,39,110,0100,697878,0000,95.8,3
1427870443,1427870443.443,4/1/2015,6:40:43 AM,101.26626159999996,0000,55,115,0100,697890,0000,99.3,3
1427870574,1427870574.574,4/1/2015,6:42:55 AM,103.04125449999997,0000,213,158,0100,697895,0000,133.2,5
1427870937,1427870937.937,4/1/2015,6:48:58 AM,106.23290839999997,0000,258,167,0100,697910,0000,143.1,5
1427871246,1427871246.246,4/1/2015,6:54:06 AM,108.44956619999998,0000,103,129,0100,697922,0000,111,4
1427871741,1427871741.741,4/1/2015,7:02:22 AM,111.59955359999998,0000,212,157,0100,697938,0000,133.5,5
1427871872,1427871872.872,4/1/2015,7:04:33 AM,112.43288359999998,0000,100,129,0100,697944,0000,110.2,4
1427872004,1427872004.004,4/1/2015,7:06:44 AM,113.33287999999999,0000,108,131,0100,697950,0000,112.3,4
1427872134,1427872134.134,4/1/2015,7:08:54 AM,114.16620999999999,0000,100,130,0100,697955,0000,111.8,4
1427872451,1427872451.451,4/1/2015,7:14:11 AM,117.28286419999999,0000,246,165,0100,697974,0000,142.1,5
1427872606,1427872606.606,4/1/2015,7:16:47 AM,120.82451669999999,0000,425,196,0100,697985,0000,165.1,6
1427872919,1427872919.919,4/1/2015,7:22:00 AM,123.3745065,0000,166,145,0100,697999,0000,122.9,4
1427873047,1427873047.047,4/1/2015,7:24:07 AM,124.06617039999999,0000,83,123,0100,698004,0000,106.5,4
1427873178,1427873178.178,4/1/2015,7:26:18 AM,124.9661668,0000,108,130,0100,698010,0000,111.2,4
1427873308,1427873308.308,4/1/2015,7:28:28 AM,126.7828262,0000,218,159,0100,698018,0000,133.5,5
1427873443,1427873443.443,4/1/2015,7:30:43 AM,129.332816,0000,306,177,0100,698029,0000,149.7,5
1427873573,1427873573.573,4/1/2015,7:32:54 AM,132.22447110000002,0000,347,185,0100,698040,0000,156.2,5
1427874245,1427874245.245,4/1/2015,7:44:05 AM,141.97443210000003,0000,495,207,0100,698101,0000,173.1,6
1427874375,1427874375.375,4/1/2015,7:46:15 AM,143.79109150000002,0000,218,159,0100,698114,0000,135.4,5
1427874505,1427874505.505,4/1/2015,7:48:26 AM,146.95774550000002,0000,380,190,0100,698124,0000,159.8,6
1427874636,1427874636.636,4/1/2015,7:50:37 AM,148.166074,0000,145,141,0100,698132,0000,120.7,4
1427874766,1427874766.766,4/1/2015,7:52:47 AM,149.16607000000002,0000,120,134,0100,698137,0000,113.9,4
1427874896,1427874896.896,4/1/2015,7:54:57 AM,150.916063,0000,210,156,0100,698144,0000,130.2,5
1427875389,1427875389.389,4/1/2015,8:03:09 AM,154.9910467,0000,166,145,0100,698164,0000,123.5,4
1427875532,1427875532.532,4/1/2015,8:05:33 AM,156.3410413,0000,162,145,0100,698169,0000,122.6,4
1427875661,1427875661.661,4/1/2015,8:07:42 AM,157.7743689,0000,172,147,0100,698175,0000,126,5
1427875791,1427875791.791,4/1/2015,8:09:52 AM,159.2910295,0000,182,150,0100,698183,0000,126.2,5
1427875924,1427875924.924,4/1/2015,8:12:05 AM,161.8576859,0000,308,177,0100,698193,0000,148.9,6
1427876235,1427876235.235,4/1/2015,8:17:15 AM,167.9326616,0000,505,207,0100,698224,0000,172.3,6
1427876906,1427876906.906,4/1/2015,8:28:27 AM,175.7826302,0000,243,164,0100,698275,0000,137.1,5
1427877089,1427877089.089,4/1/2015,8:31:29 AM,177.5076233,0000,207,154,0100,698287,0000,129.7,5
1427877219,1427877219.219,4/1/2015,8:33:39 AM,179.0242839,0000,182,150,0100,698296,0000,125.9,5
1427877349,1427877349.349,4/1/2015,8:35:49 AM,180.8242767,0000,216,158,0100,698304,0000,133.9,5
1427877480,1427877480.480,4/1/2015,8:38:00 AM,182.3242707,0000,180,149,0100,698311,0000,126.6,5
1427877612,1427877612.612,4/1/2015,8:40:13 AM,183.2326004,0000,109,131,0100,698319,0000,110.8,4
1427877743,1427877743.743,4/1/2015,8:42:24 AM,184.43259559999998,0000,144,140,0100,698327,0000,119,4
1427877880,1427877880.880,4/1/2015,8:44:41 AM,186.2825882,0000,222,159,0100,698335,0000,135.4,5
1427878552,1427878552.552,4/1/2015,8:55:53 AM,191.9742321,0000,84,123,0100,698365,0000,105.8,4
1427878868,1427878868.868,4/1/2015,9:01:09 AM,193.65755869999998,0000,100,129,0100,698376,0000,110.8,4
1427879542,1427879542.542,4/1/2015,9:12:23 AM,197.17421129999997,0000,65,119,0100,698401,0000,103,3
1427879674,1427879674.674,4/1/2015,9:14:35 AM,199.29086949999996,0000,254,167,0100,698406,0000,141,5
1427879804,1427879804.804,4/1/2015,9:16:45 AM,200.60753089999994,0000,158,144,0100,698411,0000,123.1,4
1427879936,1427879936.936,4/1/2015,9:18:57 AM,202.08252499999995,0000,177,148,0100,698417,0000,124.9,5
1427880067,1427880067.067,4/1/2015,9:21:07 AM,203.93251759999995,0000,222,159,0100,698422,0000,135.2,5
1427880199,1427880199.199,4/1/2015,9:23:19 AM,205.09084629999995,0000,139,139,0100,698428,0000,119.3,4
